abbreviation	name	synonyms	equation	subsystem	compartment	ecnumber	reversible	translocation	internal_id	confidence_score	notes	
PEPCK	Phosphoenolpyruvate carboxykinase (GTP)	PEP carboxykinase, PEPCK, Phosphoenolpyruvate carboxykinase, Phosphoenolpyruvate carboxylase, Phosphopyruvate carboxylase.	[c] : gtp + oaa --> co2 + gdp + pep	Glycolysis/Gluconeogenesis	Cytosol	4.1.1.32	Irreversible	N	1509792	0	cytosolic [RefSeq], [UniProt]//- found in liver, kidney, and intestine, NOT sk muscle, heart, or brain [Orten, Human Biochem 1975]	
ENO	enolase		[c] : 2pg <==> h2o + pep	Glycolysis/Gluconeogenesis	Cytosol	4.2.1.11	Reversible	N	133911	0	2023://- soluble, cytosolic [RefSeq]//- found in most tissues [UniProt]////2026://- found in neurons [RefSeq]//- cytosolic [UniProt]////2027://- expressed in skeletal muscle [RefSeq]//-cytosolic [UniProt]////26237://-cytosolic [UniProt]	
ETOHMO	ethanol monooxygenase		[c] : etoh + h + nadph + o2 --> acald + (2) h2o + nadp	Glycolysis/Gluconeogenesis	Cytosol		Irreversible	N	2648234	2	- ethanol can also be metabolized by microsomal ethanol oxidizing system (MEOS); principle enzyme is CYP2E1, which is localized to the outer endoplasmic reticulum membrane (but substrates/products are in cytosol) [Smith 2004]//- specific for NADPH and O2 [Smith 2004]//- occurs in the liver [Smith 2004]//	
ALCD2yf	alcohol dehydrogenase (ethanol, NADP), forward reaction		[c] : etoh + nadp --> acald + h + nadph	Glycolysis/Gluconeogenesis	Cytosol	1.1.1.2	Irreversible	N	2179024	0	- NADP is cofactor [UniProt]	
DPGase	Diphosphoglycerate phosphatase	2,3-diphosphoglycerate phosphatase	[c] : 23dpg + h2o --> 3pg + pi	Glycolysis/Gluconeogenesis	Cytosol	3.1.3.13	Irreversible	N	1315516	0		
GAPD	glyceraldehyde-3-phosphate dehydrogenase		[c] : g3p + nad + pi <==> 13dpg + h + nadh	Glycolysis/Gluconeogenesis	Cytosol	1.2.1.12	Reversible	N	134299	0	26330://- testis-specific [UniProt]	
PGI	glucose-6-phosphate isomerase		[c] : g6p <==> f6p	Glycolysis/Gluconeogenesis	Cytosol	5.3.1.9	Reversible	N	134518	0	- cytosol [LocusLink]//- reversible [RefSeq]//- gene structure identified [Walker, Genomics 1990], [Xu, Genomics 1995]//- expression and characterization [Kanno, Blood Cells Mol Dis 1998]//	
ACYP	acylphosphatase		[c] : 13dpg + h2o --> 3pg + h + pi	Glycolysis/Gluconeogenesis	Cytosol	3.6.1.7	Irreversible	N	1800804	2	97://-cytosol [RefSeq]//-erythrocyte [RefSeq]////98://- muscle [RefSeq]//- cytosol [LocusLink entry for 97] ////- bisphosphoglycerate mutase is found in only trace amounts in most cells but is present in high concentration in red blood cells [Champe, Biochemsitry 2005]	
HEX1	hexokinase (D-glucose:ATP)	glucokinase	[c] : atp + glc-D --> adp + g6p + h	Glycolysis/Gluconeogenesis	Cytosol	2.7.1.1	Irreversible	N	134052	2	- irreversible under physiological conditions [Orten and Neuhaus, Human Biochem 1975]////2645://- outer mitochondrial membrane [RefSeq]//- catalyzes initial step in utilization of glucose by the beta-cell and liver [UniProt]////3098://-Protein encoded by transcript 1 (NM_000188) is associated w/ outer mitochondrial membrane. Other transcripts enode cytosolic isoforms. [RefSeq]//-Tissue localization from RefSeq, UniProt////3099://- predominant form found in skeletal muscle//- outer membrane of mitochondria  [RefSeq]////3101://- localized to lung, liver, placenta [Furuta et al, Genomics 1996]//- soluble, cytosolic [HInv]////80201://- mito membrane [HInv]	
DPGM	Diphosphoglyceromutase		[c] : 13dpg <==> 23dpg + h	Glycolysis/Gluconeogenesis	Cytosol		Reversible	N	1507324	0		
ALDD2y	aldehyde dehydrogenase (acetaldehyde, NADP)		[c] : acald + h2o + nadp --> ac + (2) h + nadph	Glycolysis/Gluconeogenesis	Cytosol	1.2.1.4	Irreversible	N	137175	0	216://-cytosolic [Sladek, J Biocehm Molecular Toxicology, 2003], [RefSeq]//- acetaldehdyde is known substrate; NAD is cofactor [Sladek, J Biocehm Molecular Toxicology, 2003]////8854://-cytosolic [Sladek, J Biocehm Molecular Toxicology, 2003]//- doesn't metabolize acetaldehyde very efficiently; NAD, NADP are cofactors [Sladek, J Biocehm Molecular Toxicology, 2003]////220://-cytosolic [Sladek, J Biocehm Molecular Toxicology, 2003], [UniProt]//- NAD is cofactor  [Sladek, J Biocehm Molecular Toxicology, 2003]////217, 219://- mitochondrial [Sladek, J Biocehm Molecular Toxicology, 2003], [UniProt]//- acetaldehyde is preferred substrate, NAD is cofactor [Sladek, J Biocehm Molecular Toxicology, 2003]////218://-cytosolic [Sladek, J Biocehm Molecular Toxicology, 2003]//- NAD, NADP are cofactors [Sladek, J Biocehm Molecular Toxicology, 2003]////224://- integral to ER membrane (GO)//- cytoplasmic surface of ER mem [UniProt]//- NAD, NADP are cofactors [Sladek, J Biocehm Molecular Toxicology, 2003]////221://- inferred to be associated with ER; assume its localization is similar to 224////222://- inferred to be associated with ER; assume its localization is similar to 224////501://- cytosolic localization has been inferred based on homologous protein in fish//- NAD inferred as cofactor based on homologous protein in fish////223://- cytosolic [Sladek, J Biochem Molecular Toxicology, 2003]//- NAD, NADP are cofactors [Sladek, J Biochem Molecular Toxicology, 2003]	
